StudentID,Gender,StudyHoursPerDay,AttendancePercent,SleepHoursPerDay,ParentalEducation,ExtracurricularActivities,InternetAccess,ExamScore
STU2399,Female,5.3,78.5,7.0,High School,Yes,Yes,87.2
STU2400,Female,7.6,98.1,6.3,Masters,Yes,Yes,90.2
STU2401,Female,3.9,79.2,5.5,Bachelors,Yes,No,80.3
STU2402,Male,8.0,87.1,8.6,Bachelors,Yes,Yes,90.7
STU2403,Male,6.8,62.0,7.3,Masters,Yes,No,81.3
STU2404,Female,0.4,87.4,7.5,Bachelors,Yes,Yes,64.5
STU2405,Female,3.9,52.1,6.0,Bachelors,No,No,55.8
STU2406,Male,5.1,90.0,5.4,Bachelors,Yes,Yes,100.0
STU2407,Female,3.6,85.9,4.2,Masters,Yes,Yes,80.9
STU2408,Female,6.2,100.0,7.3,High School,No,Yes,96.7
STU2409,Female,4.8,80.6,6.4,High School,Yes,Yes,79.9
STU2410,Female,5.2,86.0,6.8,High School,Yes,Yes,84.7
STU2411,Male,3.6,75.1,7.9,PhD,No,Yes,69.7
STU2412,Male,0.6,68.3,6.2,Bachelors,No,Yes,53.1
STU2413,Female,4.8,80.3,6.2,PhD,No,Yes,84.0
STU2414,Female,1.9,91.4,6.5,High School,Yes,Yes,78.6
STU2415,Female,5.7,61.7,7.9,High School,Yes,Yes,73.4
STU2416,Male,4.5,85.1,5.2,Bachelors,No,Yes,81.6
STU2417,Male,9.8,99.6,6.0,Masters,No,No,100.0
STU2418,Female,4.8,60.2,6.4,PhD,No,Yes,72.3
STU2419,Female,0.5,54.5,8.0,Bachelors,No,Yes,68.0
STU2420,Female,8.6,63.9,3.7,Bachelors,Yes,Yes,92.7
STU2421,Female,5.1,51.5,6.1,Bachelors,No,Yes,63.4
STU2422,Female,6.4,90.5,6.0,Bachelors,No,Yes,88.0
STU2423,Male,6.9,73.8,6.8,High School,No,Yes,75.5
STU2424,Female,2.3,65.2,5.6,Masters,Yes,No,63.3
STU2425,Female,2.1,54.7,7.1,Bachelors,Yes,Yes,46.2
STU2426,Male,5.7,87.6,6.0,High School,No,Yes,77.9
STU2427,Male,2.0,71.1,5.3,Bachelors,Yes,Yes,55.6
STU2428,Male,0.4,77.8,7.2,Bachelors,No,Yes,57.2
STU2429,Male,2.7,80.5,7.7,Masters,Yes,Yes,77.4
STU2430,Female,3.7,99.9,6.6,Bachelors,Yes,No,70.9
STU2431,Female,5.4,70.2,6.4,High School,Yes,Yes,73.1
STU2432,Male,3.1,93.1,4.9,Bachelors,No,Yes,70.7
STU2433,Male,2.7,93.3,5.2,Bachelors,Yes,No,53.4
STU2434,Male,4.9,81.1,5.8,PhD,Yes,No,75.1
STU2435,Female,4.3,98.7,4.5,High School,No,No,82.6
STU2436,Male,5.6,62.6,6.1,Bachelors,Yes,Yes,86.9
STU2437,Female,1.5,82.1,5.1,Masters,Yes,Yes,74.3
STU2438,Male,8.1,96.2,5.9,High School,No,Yes,93.0
STU2439,Female,1.7,99.1,5.2,Bachelors,No,No,60.5
STU2440,Female,6.2,90.7,7.1,Bachelors,No,No,97.2
STU2441,Male,5.9,92.0,7.1,Masters,Yes,Yes,90.8
STU2442,Female,2.5,56.3,7.0,Masters,Yes,Yes,75.5
STU2443,Male,3.9,80.7,5.8,High School,No,Yes,69.9
STU2444,Female,3.0,81.5,7.0,Bachelors,Yes,Yes,85.4
STU2445,Male,5.4,73.1,6.4,Bachelors,Yes,Yes,79.1
STU2446,Male,6.0,61.6,5.7,Masters,Yes,Yes,100.0
STU2447,Female,4.1,71.5,7.7,High School,No,Yes,76.0
STU2448,Male,4.5,100.0,7.0,Masters,No,Yes,82.5
STU2449,Female,2.7,75.0,6.7,High School,No,Yes,70.9
STU2450,Female,5.5,70.4,6.1,High School,No,Yes,89.1
STU2451,Male,5.4,100.0,5.4,Bachelors,Yes,Yes,78.4
STU2452,Female,3.7,90.2,5.3,High School,Yes,Yes,71.1
STU2453,Male,2.2,78.3,6.1,High School,Yes,Yes,73.7
STU2454,Female,6.2,86.8,6.3,Bachelors,No,Yes,86.8
STU2455,Female,2.3,58.1,7.6,Bachelors,No,No,68.6
STU2456,Male,3.1,68.7,6.4,High School,Yes,No,66.7
STU2457,Female,2.6,96.9,7.9,Bachelors,No,Yes,81.7
STU2458,Female,4.7,67.1,7.1,Masters,No,Yes,73.7
STU2459,Male,4.0,76.3,7.0,High School,Yes,Yes,70.2
STU2460,Female,1.5,97.1,5.3,High School,Yes,Yes,69.1
STU2461,Female,3.1,87.2,5.9,Bachelors,No,Yes,78.1
STU2462,Female,2.9,72.2,5.0,Bachelors,No,No,61.3
STU2463,Male,5.9,69.2,6.1,Bachelors,No,Yes,84.7
STU2464,Male,8.8,73.7,4.9,Bachelors,No,Yes,100.0
STU2465,Female,7.5,88.3,8.6,Masters,Yes,Yes,100.0
STU2466,Male,7.6,64.3,6.7,PhD,Yes,No,80.8
STU2467,Male,7.3,82.0,7.8,Bachelors,Yes,Yes,97.3
STU2468,Male,3.2,88.2,7.7,Bachelors,Yes,Yes,82.6
STU2469,Male,3.4,84.5,4.7,PhD,Yes,Yes,70.1
STU2470,Female,1.8,79.0,8.1,PhD,Yes,Yes,71.7
STU2471,Male,6.2,57.2,7.1,Masters,Yes,Yes,89.1
STU2472,Male,4.7,87.0,8.2,High School,Yes,Yes,65.6
STU2473,Female,2.4,96.5,6.1,Bachelors,No,Yes,73.0
STU2474,Male,5.2,91.6,7.4,Masters,Yes,Yes,88.0
STU2475,Female,4.1,77.6,8.1,Bachelors,No,Yes,79.4
STU2476,Male,6.1,69.7,5.8,High School,Yes,Yes,85.9
STU2477,Female,3.8,68.4,5.5,Masters,Yes,Yes,76.6
STU2478,Female,3.0,74.2,9.0,Bachelors,No,No,61.8
STU2479,Male,4.2,64.4,6.0,High School,Yes,Yes,71.4
STU2480,Female,4.0,54.9,9.9,Bachelors,Yes,No,85.2
STU2481,Female,5.9,49.8,5.6,Bachelors,No,No,77.2
STU2482,Male,3.6,65.7,4.9,High School,No,Yes,57.0
STU2483,Male,3.3,78.0,7.3,Masters,Yes,Yes,76.5
STU2484,Female,4.4,89.2,6.4,High School,Yes,Yes,79.0
STU2485,Female,1.7,100.0,5.6,Masters,No,Yes,78.8
STU2486,Male,3.1,86.7,7.0,High School,No,Yes,59.4
STU2487,Male,5.6,86.1,4.0,Bachelors,No,Yes,81.2
STU2488,Male,2.3,100.0,8.6,High School,Yes,Yes,75.7
STU2489,Female,6.2,72.6,5.6,Bachelors,No,Yes,81.7
STU2490,Female,2.9,100.0,4.6,PhD,Yes,Yes,68.7
STU2491,Female,3.6,95.1,4.1,Bachelors,No,Yes,57.0
STU2492,Male,5.1,76.7,6.3,Bachelors,Yes,Yes,73.6
STU2493,Male,4.3,84.8,8.5,Bachelors,No,Yes,78.8
STU2494,Male,1.6,80.5,5.8,Bachelors,Yes,Yes,58.1
STU2495,Male,0.8,77.6,6.6,Bachelors,Yes,No,68.3
STU2496,Female,4.5,89.8,7.9,Bachelors,Yes,Yes,79.3
STU2497,Female,2.1,80.2,5.6,Masters,Yes,Yes,80.7
STU2498,Female,3.4,86.0,7.6,Masters,No,Yes,90.0
STU2499,Female,5.2,81.5,4.8,Bachelors,No,Yes,81.8
STU2500,Female,3.6,78.0,5.7,Masters,No,Yes,83.3
STU2501,Male,2.9,67.0,5.5,High School,Yes,No,48.8
STU2502,Female,1.8,93.1,4.2,PhD,No,Yes,65.8
STU2503,Male,4.2,85.5,9.3,High School,No,No,78.4
STU2504,Female,8.6,87.0,6.0,Bachelors,No,Yes,100.0
STU2505,Female,2.1,66.3,6.2,Bachelors,No,Yes,79.8
STU2506,Male,1.1,89.5,5.7,PhD,No,No,59.3
STU2507,Female,3.2,88.4,6.6,High School,Yes,No,73.8
STU2508,Male,6.4,100.0,7.5,PhD,No,Yes,87.2
STU2509,Male,3.4,83.2,7.6,PhD,No,Yes,75.0
STU2510,Female,3.8,64.2,7.3,Bachelors,No,No,63.6
STU2511,Female,3.8,87.4,7.1,High School,No,Yes,67.3
STU2512,Female,4.3,59.6,7.9,Masters,Yes,No,80.5
STU2513,Male,2.1,85.8,4.4,Bachelors,Yes,Yes,82.4
STU2514,Female,1.5,100.0,6.4,Masters,Yes,Yes,63.2
STU2515,Female,3.9,83.4,7.3,Masters,No,Yes,62.2
STU2516,Female,7.7,63.6,4.7,Masters,Yes,Yes,93.2
STU2517,Male,0.7,86.3,5.3,High School,Yes,No,56.1
STU2518,Male,3.5,68.3,3.0,High School,Yes,Yes,82.0
STU2519,Female,3.5,71.6,7.4,Bachelors,No,Yes,72.0
STU2520,Male,3.1,58.3,5.5,PhD,Yes,Yes,64.9
STU2521,Female,4.3,74.9,6.0,High School,No,Yes,74.3
STU2522,Male,2.7,81.5,7.1,Bachelors,No,Yes,66.3
STU2523,Male,5.6,90.7,4.7,High School,No,Yes,75.6
STU2524,Male,2.4,88.3,6.9,Masters,No,Yes,64.9
STU2525,Male,1.2,78.5,6.4,Masters,No,Yes,72.3
STU2526,Female,3.6,85.4,6.5,Masters,Yes,Yes,93.5
STU2527,Male,5.2,91.6,7.6,Bachelors,Yes,Yes,91.1
STU2528,Male,9.7,77.4,6.4,High School,No,Yes,94.6
STU2529,Female,3.6,73.3,8.6,High School,Yes,Yes,64.0
STU2530,Female,7.3,77.1,6.9,High School,Yes,No,88.8
STU2531,Male,0.9,63.3,7.5,Bachelors,Yes,Yes,49.5
STU2532,Female,5.8,86.9,7.0,Masters,No,Yes,79.3
STU2533,Female,6.9,100.0,3.4,Bachelors,No,Yes,76.8
STU2534,Female,3.9,69.2,9.4,Bachelors,Yes,Yes,79.2
STU2535,Female,5.9,82.1,5.7,Bachelors,No,Yes,90.9
STU2536,Male,3.4,80.2,5.7,Bachelors,No,Yes,80.3
STU2537,Male,3.1,60.6,6.1,PhD,No,Yes,83.7
STU2538,Male,3.7,92.0,6.5,High School,Yes,Yes,74.0
STU2539,Male,5.4,76.1,8.2,Bachelors,No,Yes,81.8
STU2540,Female,0.4,84.6,6.1,Masters,Yes,Yes,44.7
STU2541,Male,6.9,74.2,7.8,High School,Yes,Yes,94.8
STU2542,Male,3.6,75.1,4.0,High School,No,Yes,75.8
STU2543,Male,2.9,72.1,6.5,Bachelors,Yes,Yes,68.6
STU2544,Female,6.4,97.1,6.8,High School,Yes,Yes,87.8
STU2545,Female,4.5,79.5,8.5,High School,Yes,Yes,67.4
STU2546,Male,9.2,71.0,10.0,Bachelors,No,Yes,89.9
STU2547,Female,1.8,80.8,6.3,Masters,Yes,Yes,61.0
STU2548,Male,3.7,82.3,4.8,High School,No,Yes,77.3
STU2549,Male,3.1,85.1,7.5,Bachelors,Yes,No,71.6
STU2550,Female,6.8,76.9,6.0,Bachelors,Yes,Yes,88.8
STU2551,Male,2.5,76.6,4.7,Masters,Yes,No,66.3
STU2552,Female,1.2,59.7,4.5,Bachelors,Yes,Yes,64.1
STU2553,Male,0.0,67.0,5.0,Bachelors,No,Yes,42.7
STU2554,Male,0.9,55.7,6.7,Bachelors,No,Yes,69.3
STU2555,Male,4.0,77.4,7.1,Masters,No,Yes,78.8
STU2556,Female,2.3,87.2,7.1,High School,No,Yes,62.2
STU2557,Female,6.4,98.7,6.7,Masters,Yes,No,84.5
STU2558,Male,0.8,63.3,6.7,Bachelors,Yes,Yes,60.3
STU2559,Male,3.6,70.4,5.7,Bachelors,Yes,Yes,58.7
STU2560,Female,1.0,98.1,9.2,Bachelors,Yes,Yes,70.6
STU2561,Male,3.5,73.5,7.5,Masters,Yes,Yes,66.4
STU2562,Male,2.3,82.0,7.5,High School,No,Yes,75.8
STU2563,Female,2.8,79.3,8.6,Masters,Yes,No,65.2
STU2564,Male,0.0,62.0,6.9,PhD,No,Yes,67.2
STU2565,Male,5.6,73.6,5.3,Bachelors,Yes,Yes,74.6
STU2566,Female,2.4,98.1,6.6,High School,No,Yes,67.5
STU2567,Female,2.7,87.0,6.7,High School,No,Yes,76.4
STU2568,Male,2.6,100.0,6.4,High School,Yes,No,60.6
STU2569,Female,2.7,82.1,5.1,High School,No,Yes,68.6
STU2570,Male,6.2,66.8,3.3,High School,No,Yes,74.1
STU2571,Female,5.9,83.3,6.0,Bachelors,No,Yes,87.1
STU2572,Male,4.1,74.9,6.1,High School,No,Yes,67.0
STU2573,Male,1.6,80.7,5.2,Bachelors,No,Yes,64.7
STU2574,Female,4.0,93.8,7.2,Bachelors,No,Yes,81.4
STU2575,Female,2.8,100.0,4.4,Masters,No,Yes,73.5
STU2576,Female,0.0,81.9,5.9,Bachelors,Yes,Yes,67.2
STU2577,Male,2.3,71.3,8.6,High School,Yes,Yes,67.5
STU2578,Male,4.0,85.3,6.9,Bachelors,No,Yes,76.6
STU2579,Female,2.2,81.7,4.6,Masters,Yes,Yes,73.2
STU2580,Male,2.9,76.8,6.4,Bachelors,No,Yes,76.0
STU2581,Male,5.6,72.1,6.6,Bachelors,Yes,Yes,71.1
STU2582,Male,5.8,73.1,5.8,Bachelors,No,Yes,86.7
STU2583,Male,0.0,73.0,5.4,High School,Yes,Yes,43.7
STU2584,Female,4.5,62.3,8.1,Bachelors,No,No,74.1
STU2585,Female,4.0,86.3,6.1,PhD,No,Yes,83.4
STU2586,Female,4.5,82.8,8.8,Bachelors,Yes,Yes,84.2
STU2587,Male,2.6,79.8,6.9,Bachelors,No,Yes,68.8
STU2588,Female,4.1,50.3,5.1,High School,No,Yes,82.2
STU2589,Female,0.0,74.4,4.9,Masters,Yes,Yes,55.2
STU2590,Female,3.0,92.7,5.0,Bachelors,No,No,79.8
STU2591,Male,5.1,85.0,5.6,Masters,No,Yes,81.3
STU2592,Male,1.1,66.6,6.0,High School,No,No,70.5
STU2593,Female,2.6,74.6,8.2,Masters,Yes,Yes,84.0
STU2594,Female,2.2,85.7,4.9,Masters,Yes,No,75.2
STU2595,Female,4.0,73.0,7.5,High School,Yes,Yes,85.3
STU2596,Female,5.9,85.7,4.5,High School,No,Yes,95.2
STU2597,Female,2.7,57.7,5.5,High School,Yes,Yes,58.9
STU2598,Female,7.6,80.1,8.5,Bachelors,Yes,Yes,100.0
STU2599,Female,2.5,87.0,6.0,Bachelors,Yes,Yes,65.0
